---------------------------------------------------------------------------------------------------------------
Benchmark                                                     Time             CPU   Iterations UserCounters...
GrpcConcurrentFixture/ConcurrentPing/16/real_time          43.9 ms        0.489 ms           16 avg_latency_us=652.198 calls/sec=23.6555k failures=0 p99_latency_us=1.32014k threads=16 gRPC
GrpcConcurrentFixture/ConcurrentPing/32/real_time          76.4 ms         1.10 ms            9 avg_latency_us=1.13356k calls/sec=27.3399k failures=0 p99_latency_us=1.98573k threads=32 gRPC
GrpcConcurrentFixture/ConcurrentPing/64/real_time           149 ms         2.37 ms            5 avg_latency_us=2.26495k calls/sec=27.6338k failures=0 p99_latency_us=3.77737k threads=64 gRPC
GrpcLatencyFixture/EmptyCall/real_time                      197 us         62.7 us         3476 calls/sec=5.06955k/s gRPC
GrpcLatencyFixture/CallWithReturn/real_time                 196 us         61.5 us         3582 calls/sec=5.10669k/s gRPC
GrpcLatencyFixture/SmallStringCall/real_time                204 us         65.0 us         3574 bytes_per_second=478.119Ki/s calls/sec=4.89594k/s gRPC
GrpcLatencyFixture/NestedDataCall/real_time                 208 us         68.1 us         3404 calls/sec=4.81882k/s gRPC
GrpcLatencyFixture/LargeData1MB/real_time                 0.833 ms        0.353 ms          671 bytes_per_second=1.17268Gi/s calls/sec=1.20083k/s gRPC
GrpcLatencyFixture/LargeData10MB/real_time                 13.0 ms         4.49 ms           43 bytes_per_second=768.494Mi/s calls/sec=76.8494/s gRPC
CapnpLatencyFixture/EmptyCall/real_time                    51.2 us         26.2 us        14238 calls/sec=19.524k/s Cap'n Proto
CapnpLatencyFixture/CallWithReturn/real_time               48.7 us         24.2 us        12366 calls/sec=20.55k/s Cap'n Proto
CapnpLatencyFixture/SmallStringCall/real_time              50.0 us         25.0 us        12748 bytes_per_second=380.036k/s calls/sec=20.0019k/s Cap'n Proto
CapnpLatencyFixture/NestedDataCall/real_time               49.4 us         24.4 us        14034 calls/sec=20.2421k/s Cap'n Proto
CapnpLatencyFixture/LargeData1MB/real_time                 1.08 ms        0.440 ms          619 bytes_per_second=929.157Mi/s calls/sec=929.157/s Cap'n Proto
CapnpLatencyFixture/LargeData10MB/real_time                12.1 ms         9.52 ms           59 bytes_per_second=826.063Mi/s calls/sec=82.6063/s Cap'n Proto
